mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,mean_loss,std_folds,param_set_index
0.014459466934204102,0.00024026501920673235,0.0024576663970947267,0.00013486564990634504,0.1,scale,rbf,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",-0.011384609504701193,-0.002954350397662015,-0.013498357987365933,-0.019981021296742663,-0.010860204475790534,-0.011735708732452466,0.0054606619425458525,4,-0.01092287528082879,-0.012452311744008085,-0.011009255048042687,-0.00896255865847639,-0.010666712665245211,-0.010802742679320234,0.001112019666629506,0.011735708732452466,0.0054606619425458525,0
0.06897273063659667,0.006555830002192032,0.007582855224609375,0.0008084658273460674,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",-0.6936305097000186,-0.6936305096111269,-0.6936304283480534,-0.6936305018186545,-0.6936304293373713,-0.6936304757630449,3.841830349656714e-08,16,-0.7022823685725443,-0.7022823683336302,-0.702282370563015,-0.7022822147087089,-0.7022823630883981,-0.7022823370532592,6.122229680459288e-08,0.6936304757630449,3.841830349656714e-08,1
0.058413219451904294,0.006069804997589354,0.007460117340087891,0.0024451238297504146,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.6936303063324646,-0.6936303063324646,-0.6936303063324646,-0.6936303063324647,-0.6936303063324647,-0.6936303063324647,8.599750569898517e-17,14,-0.7022823709775858,-0.7022823709775858,-0.7022823709775858,-0.7022823709775858,-0.7022823709775858,-0.7022823709775858,0.0,0.6936303063324647,8.599750569898517e-17,2
0.06587758064270019,0.0038584806935532926,0.00611581802368164,0.0001494145933407504,0.1,1.0,rbf,"{'C': 0.1, 'gamma': 1.0, 'kernel': 'rbf'}",-0.6936303063324646,-0.6936303063324646,-0.6936303063324646,-0.6936303063324647,-0.6936303063324647,-0.6936303063324647,8.599750569898517e-17,14,-0.7022823709775858,-0.7022823709775858,-0.7022823709775858,-0.7022823709775858,-0.7022823709775858,-0.7022823709775858,0.0,0.6936303063324647,8.599750569898517e-17,3
0.008331012725830079,0.0016107699826689921,0.0017630100250244141,0.00011824567429997793,1.0,scale,rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",-0.009858884048500835,-0.002805814941546112,-0.012771089331933,-0.01971686196760874,-0.010448787268557138,-0.011120287511629166,0.005436887793931752,3,-0.008591923921858024,-0.00997411703422387,-0.009720685073951556,-0.00794457584217665,-0.009191424616552311,-0.009084545297752484,0.0007415714473484604,0.011120287511629166,0.005436887793931752,4
0.07792801856994629,0.002150715718897844,0.007744598388671875,0.0018577622645140554,1.0,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",-0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453,0.0,5,-4.103518761725887,-4.103515188254126,-4.103764252050186,-4.089541498427726,-4.1030081218356775,-4.100669564458721,0.005569475654609945,0.6931471805599453,0.0,5
0.06966609954833984,0.006167266905052644,0.008210372924804688,0.0029781925370193883,1.0,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453,0.0,5,-4.103837461001129,-4.103837461001129,-4.103837461001129,-4.103837461001129,-4.103837461001129,-4.103837461001129,0.0,0.6931471805599453,0.0,6
0.06768808364868165,0.0025938091475073057,0.0066112041473388675,0.0012258132465469034,1.0,1.0,rbf,"{'C': 1, 'gamma': 1.0, 'kernel': 'rbf'}",-0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453,0.0,5,-4.103837461001129,-4.103837461001129,-4.103837461001129,-4.103837461001129,-4.103837461001129,-4.103837461001129,0.0,0.6931471805599453,0.0,7
0.006123256683349609,0.0025827365790977255,0.0018112659454345703,0.0006228336821846703,10.0,scale,rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",-0.010188384244561633,-0.00268808642725034,-0.01612552498038667,-0.014325863490612236,-0.009020407104959022,-0.01046965324955398,0.004681697369750515,2,-0.004835402028299784,-0.006458684177411337,-0.007300676613991974,-0.006996735219594441,-0.007191329905016734,-0.006556565588862853,0.0009080045188783237,0.01046965324955398,0.004681697369750515,8
0.07093219757080078,0.0034868626941661923,0.007861995697021484,0.0016324425822827387,10.0,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",-0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453,0.0,5,-11.41803581514289,-11.418005215220802,-11.423434399102586,-11.337258590064385,-11.418872540837421,-11.403121312073617,0.03299270779241876,0.6931471805599453,0.0,9
0.06538662910461426,0.005012176483286532,0.005917024612426758,9.953470559923845e-05,10.0,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",-0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453,0.0,5,-11.423907249609776,-11.423907249609776,-11.423907249609778,-11.423907249609778,-11.423907249609778,-11.423907249609776,1.3759600911837627e-15,0.6931471805599453,0.0,10
