mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,mean_loss,std_folds,param_set_index
0.02027592658996582,0.0008387296503162079,0.00254974365234375,0.0001765067731414703,0.03,3,50,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 50}",-0.12400994349104966,-0.12414863901169423,-0.12987165352136945,-0.13347219563676752,-0.12477055352192754,-0.12725459703656167,0.003790850592233732,61,-0.1252210053250526,-0.12258881568004161,-0.123298805045768,-0.12365475870001312,-0.12364568081778356,-0.12368181311373179,0.0008616830876466648,0.12725459703656167,0.003790850592233732,0
0.032767295837402344,0.0013323117937764125,0.002485322952270508,0.00018635113380566473,0.03,3,100,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 100}",-0.03024742426888305,-0.0305418562048582,-0.036002877445241076,-0.04133846481193517,-0.03154258216973099,-0.0339346409801297,0.0042408185617270585,57,-0.03095757886801077,-0.030169397283765265,-0.030372542714622097,-0.030673514547621506,-0.030552277072179623,-0.03054506209723985,0.00026743566086122724,0.0339346409801297,0.0042408185617270585,1
0.055926275253295896,0.0038121743305190663,0.0034314632415771485,0.0016237349525623616,0.03,3,200,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 200}",-0.005092784613159245,-0.0049997805975262625,-0.008720913668251607,-0.01157023290525572,-0.005959649082385103,-0.007268672173315588,0.002538043624522771,49,-0.005165324508280846,-0.005035390218016604,-0.00500918761698891,-0.0050683228391678135,-0.005060967556042696,-0.005067838547699374,5.299770437947346e-05,0.007268672173315588,0.002538043624522771,2
0.07093515396118164,0.005405566602610624,0.002380704879760742,0.0004173346421724432,0.03,3,400,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 400}",-0.003170466592161467,-0.003212798002172626,-0.00596097081423435,-0.008215666686524214,-0.003887236330682604,-0.0048894276851550525,0.0019484543831339316,45,-0.0031620512650378505,-0.0031500694031218247,-0.0031615101986135637,-0.003157988868437514,-0.0031640102381981353,-0.003159125994681778,4.927725165849839e-06,0.0048894276851550525,0.0019484543831339316,3
0.022205400466918945,0.0014408080231266612,0.002205657958984375,0.0003419456214148551,0.03,5,50,"{'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 50}",-0.12400994349104966,-0.12414863901169423,-0.12987165352136945,-0.13347219563676752,-0.12477055352192754,-0.12725459703656167,0.003790850592233732,61,-0.1252210053250526,-0.12258881568004161,-0.123298805045768,-0.12365475870001312,-0.12364568081778356,-0.12368181311373179,0.0008616830876466648,0.12725459703656167,0.003790850592233732,4
0.037989044189453126,0.002275493921238003,0.0021827220916748047,9.019384616077123e-05,0.03,5,100,"{'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 100}",-0.03024742426888305,-0.0305418562048582,-0.036002877445241076,-0.04133846481193517,-0.03154258216973099,-0.0339346409801297,0.0042408185617270585,57,-0.03095757886801077,-0.030169397283765265,-0.030372542714622097,-0.030673514547621506,-0.030552277072179623,-0.03054506209723985,0.00026743566086122724,0.0339346409801297,0.0042408185617270585,5
0.05315132141113281,0.002690509648315828,0.0027532577514648438,0.0011103519425876673,0.03,5,200,"{'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 200}",-0.005092784613159245,-0.0049997805975262625,-0.008720913668251607,-0.01157023290525572,-0.005959649082385103,-0.007268672173315588,0.002538043624522771,49,-0.005165324508280846,-0.005035390218016604,-0.00500918761698891,-0.0050683228391678135,-0.005060967556042696,-0.005067838547699374,5.299770437947346e-05,0.007268672173315588,0.002538043624522771,6
0.07345519065856934,0.002437587992310349,0.002215003967285156,2.3716885139747882e-05,0.03,5,400,"{'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 400}",-0.003170466592161467,-0.003212798002172626,-0.00596097081423435,-0.008215666686524214,-0.003887236330682604,-0.0048894276851550525,0.0019484543831339316,45,-0.0031620512650378505,-0.0031500694031218247,-0.0031615101986135637,-0.003157988868437514,-0.0031640102381981353,-0.003159125994681778,4.927725165849839e-06,0.0048894276851550525,0.0019484543831339316,7
0.021782445907592773,0.0028828739334926263,0.002042198181152344,7.571606530701395e-05,0.03,7,50,"{'learning_rate': 0.03, 'max_depth': 7, 'n_estimators': 50}",-0.12400994349104966,-0.12414863901169423,-0.12987165352136945,-0.13347219563676752,-0.12477055352192754,-0.12725459703656167,0.003790850592233732,61,-0.1252210053250526,-0.12258881568004161,-0.123298805045768,-0.12365475870001312,-0.12364568081778356,-0.12368181311373179,0.0008616830876466648,0.12725459703656167,0.003790850592233732,8
0.04122328758239746,0.0024972839560393175,0.002071523666381836,4.834823109672388e-05,0.03,7,100,"{'learning_rate': 0.03, 'max_depth': 7, 'n_estimators': 100}",-0.03024742426888305,-0.0305418562048582,-0.036002877445241076,-0.04133846481193517,-0.03154258216973099,-0.0339346409801297,0.0042408185617270585,57,-0.03095757886801077,-0.030169397283765265,-0.030372542714622097,-0.030673514547621506,-0.030552277072179623,-0.03054506209723985,0.00026743566086122724,0.0339346409801297,0.0042408185617270585,9
